year	country	iso	ifs	pop	rgdpmad	rgdpbarro	rconsbarro	gdp	iy	cpi	ca	imports	exports	narrowm	money	stir	ltrate	hpnom	unemp	wage	debtgdp	revenue	expenditure	xrusd	tloans	tmort	thh	tbus	bdebt	lev	ltd	noncore	crisisJST	crisisJST_old	peg	peg_strict	peg_type	peg_base	JSTtrilemmaIV	eq_tr	housing_tr	bond_tr	bill_rate	rent_ipolated	housing_capgain_ipolated	housing_capgain	housing_rent_rtn	housing_rent_yd	eq_capgain	eq_dp	eq_capgain_interp	eq_tr_interp	eq_dp_interp	bond_rate	eq_div_rtn	capital_tr	risky_tr	safe_tr
1870	Australia	AUS	193	1775	3273.239	13.83616	21.44973	208.78	0.109266	2.708333	-6.14759	36	37	23.3	54.3	4.88	4.911817	0.492253		0.448118	0.172568			0.366946	54.792	1.68				25.01666	119.832	32.92877	0	0	1	1	PEG	GBR		-0.0049			0.0488						-0.07005	0.071417				0.049118	0.066415			
1871	Australia	AUS	193	1675	3298.507	13.93686	19.9308	211.56	0.104579	2.666667	5.260774	34	46	27.2	59.5	4.6	4.844633	0.469877		0.439417	0.191799			0.369146	53.748	1.766				23.983	107.0379	30.21366	0	0	1	1	PEG	GBR	-0.42	0.110193			0.046			-0.04546			0.041654	0.065466				0.048446	0.068193			
1872	Australia	AUS	193	1722	3553.426	15.04425	21.08501	227.4	0.130438	2.541667	7.867636	38	53	36.2	68.5	4.6	4.73735	0.484794		0.452469	0.15492			0.369239	55.822	1.47				22.44565	94.90955	26.86041	0	0	1	1	PEG	GBR	1.27	0.176749			0.046			0.031747			0.108945	0.062997				0.047373	0.069861			
1873	Australia	AUS	193	1769	3823.629	16.21944	23.25491	266.54	0.124986	2.541667	-11.0478	49	50	38.6	73.7	4.4	4.671958	0.469877		0.491625	0.142692			0.362405	65.38	1.364				21.005	101.7081	28.64502	0	0	1	1	PEG	GBR	0.59	0.151686			0.044			-0.03077			0.083086	0.064484				0.04672	0.069842			
1874	Australia	AUS	193	1822	3834.797	16.26823	23.45805	287.58	0.14196	2.666667	-5.56396	49	54	37.9	79.3	4.5	4.653317	0.566836		0.509028	0.194322			0.372223	71.478	1.434				20.97437	102.0793	28.29805	0	0	1	1	PEG	GBR	-1.08	0.191481			0.045			0.20635			0.119389	0.063503				0.046533	0.071085			
1875	Australia	AUS	193	1874	4138.207	17.59211	25.66951	300.74	0.160564	2.75	-7.90874	50	52	37.5	88.5	4.6	4.507325	0.566836		0.52208	0.233687			0.360926	79.954	1.564				19.60018	101.9093	28.04975	0	0	1	1	PEG	GBR	-0.51	0.124408			0.046			0			0.057059	0.063643				0.045073	0.067274			
1876	Australia	AUS	193	1929	4007.258	17.01903	24.80616	311.26	0.167878	2.791667	-6.95211	48	51	38.2	95.8	4.6	4.565908	0.522086		0.535132	0.158506			0.372022	86.206	1.86				18.56885	100.6868	28.12699	0	0	1	1	PEG	GBR	-1.01	0.118815			0.046			-0.07895			0.054104	0.060223				0.045659	0.063481			
1877	Australia	AUS	193	1995	4036.09	17.14565	25.21706	313.66	0.209934	2.875	-14.6248	52	51	40.2	105.7	4.5	4.38885	0.522086		0.539482	0.176092			0.399911	101.036	2.42				18.7411	106.3067	24.98303	0	0	1	1	PEG	GBR	0.45	0.136591			0.045			0			0.074442	0.057305				0.043889	0.061571			
1878	Australia	AUS	193	2062	4277.401	18.20526	26.56055	324.3	0.181141	2.833333	-16.3359	52	50	38.7	106.2	4.8	4.4428	0.589211		0.530781	0.172852			0.412573	106.648	2.754				19.20431	112.3225	27.42421	0	0	1	1	PEG	GBR	0.89	-0.07894			0.048			0.128571			-0.13274	0.06448				0.044428	0.055922			
1879	Australia	AUS	193	2127	4204.984	17.88725	26.519	334.44	0.161509	2.75	-12.3327	48	44	37.2	108.3	4.9	4.60335	0.604128		0.535132	0.208934			0.415088	102.726	2.9				19.33445	105.5245	26.2314	0	0	1	1	PEG	GBR	-1.47	0.124136			0.049			0.025317			0.06007	0.060417				0.046034	0.064046			
